"event.year";"event.city";"awarding.country";"pts";"recipient.country";"event.type";"event.id";"page"
1959;"Cannes";"Sweden";3;"Switzerland";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Sweden";2;"Austria";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Sweden";1;"Italy";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Switzerland";3;"Italy";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Switzerland";3;"United Kingdom";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Switzerland";1;"Denmark";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Switzerland";1;"France";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Switzerland";1;"Germany";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Switzerland";1;"Austria";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"The Netherlands";5;"United Kingdom";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"The Netherlands";3;"Sweden";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"The Netherlands";1;"Denmark";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"The Netherlands";1;"Belgium";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"United Kingdom";5;"Switzerland";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"United Kingdom";2;"Denmark";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"United Kingdom";2;"Belgium";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"United Kingdom";1;"The Netherlands";"final";"cannes-1959";"scoreboard"
1960;"London";"Austria";3;"United Kingdom";"final";"london-1960";"scoreboard"
1960;"London";"Austria";2;"Switzerland";"final";"london-1960";"scoreboard"
1960;"London";"Austria";2;"Germany";"final";"london-1960";"scoreboard"
1960;"London";"Austria";1;"Belgium";"final";"london-1960";"scoreboard"
1960;"London";"Austria";1;"Norway";"final";"london-1960";"scoreboard"
1960;"London";"Austria";1;"France";"final";"london-1960";"scoreboard"
1960;"London";"Belgium";3;"France";"final";"london-1960";"scoreboard"
1960;"London";"Belgium";2;"Germany";"final";"london-1960";"scoreboard"
1960;"London";"Belgium";1;"United Kingdom";"final";"london-1960";"scoreboard"
1960;"London";"Belgium";1;"Norway";"final";"london-1960";"scoreboard"
1960;"London";"Belgium";1;"Austria";"final";"london-1960";"scoreboard"
1960;"London";"Belgium";1;"The Netherlands";"final";"london-1960";"scoreboard"
1960;"London";"Belgium";1;"Italy";"final";"london-1960";"scoreboard"
1960;"London";"Denmark";4;"France";"final";"london-1960";"scoreboard"
1960;"London";"Denmark";2;"Norway";"final";"london-1960";"scoreboard"
1960;"London";"Denmark";2;"Austria";"final";"london-1960";"scoreboard"
1960;"London";"Denmark";2;"Monaco";"final";"london-1960";"scoreboard"
1960;"London";"France";4;"Germany";"final";"london-1960";"scoreboard"
1960;"London";"France";3;"Monaco";"final";"london-1960";"scoreboard"
1960;"London";"France";2;"Sweden";"final";"london-1960";"scoreboard"
1960;"London";"France";1;"Norway";"final";"london-1960";"scoreboard"
1960;"London";"Germany";7;"Monaco";"final";"london-1960";"scoreboard"
1960;"London";"Germany";1;"United Kingdom";"final";"london-1960";"scoreboard"
1960;"London";"Germany";1;"Belgium";"final";"london-1960";"scoreboard"
1960;"London";"Germany";1;"France";"final";"london-1960";"scoreboard"
1960;"London";"Italy";3;"Belgium";"final";"london-1960";"scoreboard"
1960;"London";"Italy";2;"United Kingdom";"final";"london-1960";"scoreboard"
1960;"London";"Italy";1;"Sweden";"final";"london-1960";"scoreboard"
1960;"London";"Italy";1;"Luxembourg";"final";"london-1960";"scoreboard"
1960;"London";"Italy";1;"Austria";"final";"london-1960";"scoreboard"
1960;"London";"Italy";1;"Switzerland";"final";"london-1960";"scoreboard"
1960;"London";"Italy";1;"The Netherlands";"final";"london-1960";"scoreboard"
1960;"London";"Luxembourg";5;"United Kingdom";"final";"london-1960";"scoreboard"
1960;"London";"Luxembourg";1;"Denmark";"final";"london-1960";"scoreboard"
1960;"London";"Luxembourg";1;"Monaco";"final";"london-1960";"scoreboard"
1960;"London";"Luxembourg";1;"Switzerland";"final";"london-1960";"scoreboard"
1960;"London";"Luxembourg";1;"Italy";"final";"london-1960";"scoreboard"
1960;"London";"Luxembourg";1;"France";"final";"london-1960";"scoreboard"
1960;"London";"Monaco";5;"France";"final";"london-1960";"scoreboard"
1960;"London";"Monaco";2;"Germany";"final";"london-1960";"scoreboard"
1960;"London";"Monaco";2;"Italy";"final";"london-1960";"scoreboard"
1960;"London";"Monaco";1;"United Kingdom";"final";"london-1960";"scoreboard"
1960;"London";"Norway";5;"France";"final";"london-1960";"scoreboard"
1960;"London";"Norway";2;"United Kingdom";"final";"london-1960";"scoreboard"
1960;"London";"Norway";2;"Denmark";"final";"london-1960";"scoreboard"
1960;"London";"Norway";1;"Switzerland";"final";"london-1960";"scoreboard"
1960;"London";"Sweden";4;"Belgium";"final";"london-1960";"scoreboard"
1960;"London";"Sweden";4;"France";"final";"london-1960";"scoreboard"
1960;"London";"Sweden";1;"United Kingdom";"final";"london-1960";"scoreboard"
1960;"London";"Sweden";1;"Germany";"final";"london-1960";"scoreboard"
1960;"London";"Switzerland";4;"United Kingdom";"final";"london-1960";"scoreboard"
1960;"London";"Switzerland";4;"Norway";"final";"london-1960";"scoreboard"
1960;"London";"Switzerland";1;"Monaco";"final";"london-1960";"scoreboard"
1960;"London";"Switzerland";1;"France";"final";"london-1960";"scoreboard"
1960;"London";"The Netherlands";5;"United Kingdom";"final";"london-1960";"scoreboard"
1960;"London";"The Netherlands";2;"France";"final";"london-1960";"scoreboard"
1960;"London";"The Netherlands";1;"Sweden";"final";"london-1960";"scoreboard"
1960;"London";"The Netherlands";1;"Norway";"final";"london-1960";"scoreboard"
1960;"London";"The Netherlands";1;"Italy";"final";"london-1960";"scoreboard"
1960;"London";"United Kingdom";5;"France";"final";"london-1960";"scoreboard"
1960;"London";"United Kingdom";2;"Austria";"final";"london-1960";"scoreboard"
1960;"London";"United Kingdom";1;"Denmark";"final";"london-1960";"scoreboard"
1960;"London";"United Kingdom";1;"Norway";"final";"london-1960";"scoreboard"
1960;"London";"United Kingdom";1;"Monaco";"final";"london-1960";"scoreboard"
1961;"Cannes";"Austria";4;"Luxembourg";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Austria";3;"Yugoslavia";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Austria";2;"Switzerland";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Austria";1;"Germany";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Belgium";5;"Norway";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Belgium";4;"Italy";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Belgium";1;"United Kingdom";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Denmark";4;"Italy";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Denmark";1;"Finland";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Denmark";1;"Yugoslavia";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Denmark";1;"Germany";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Denmark";1;"Norway";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Denmark";1;"Luxembourg";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Denmark";1;"United Kingdom";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Finland";3;"Monaco";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Finland";3;"Luxembourg";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Finland";2;"Norway";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Finland";1;"France";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Finland";1;"Denmark";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"France";2;"Spain";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"France";2;"Yugoslavia";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"France";2;"Sweden";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"France";1;"Finland";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"France";1;"The Netherlands";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"France";1;"Luxembourg";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"France";1;"Italy";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Germany";5;"Luxembourg";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Germany";4;"France";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Germany";1;"The Netherlands";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Italy";3;"Luxembourg";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Italy";2;"Finland";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Italy";2;"The Netherlands";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Italy";2;"Switzerland";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Italy";1;"United Kingdom";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Luxembourg";8;"United Kingdom";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Luxembourg";1;"France";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Luxembourg";1;"Belgium";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Monaco";4;"Luxembourg";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Monaco";2;"France";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Monaco";2;"Switzerland";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Monaco";1;"Spain";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Monaco";1;"Italy";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Norway";8;"Denmark";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Norway";2;"Spain";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Spain";3;"United Kingdom";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Spain";2;"France";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Spain";2;"Luxembourg";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Spain";1;"Monaco";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Spain";1;"Switzerland";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Spain";1;"Norway";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Sweden";4;"Switzerland";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Sweden";2;"Denmark";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Sweden";1;"Spain";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Sweden";1;"Germany";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Sweden";1;"France";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Sweden";1;"Luxembourg";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Switzerland";7;"United Kingdom";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Switzerland";1;"Monaco";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Switzerland";1;"Yugoslavia";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Switzerland";1;"Luxembourg";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"The Netherlands";3;"United Kingdom";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"The Netherlands";2;"Switzerland";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"The Netherlands";1;"Spain";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"The Netherlands";1;"Yugoslavia";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"The Netherlands";1;"Denmark";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"The Netherlands";1;"Luxembourg";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"The Netherlands";1;"Italy";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"United Kingdom";2;"Finland";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"United Kingdom";2;"France";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"United Kingdom";2;"Switzerland";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"United Kingdom";1;"Spain";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"United Kingdom";1;"Monaco";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"United Kingdom";1;"Austria";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"United Kingdom";1;"Yugoslavia";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Yugoslavia";5;"Luxembourg";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Yugoslavia";2;"The Netherlands";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Yugoslavia";1;"Switzerland";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Yugoslavia";1;"Norway";"final";"cannes-1961";"scoreboard"
1961;"Cannes";"Yugoslavia";1;"Italy";"final";"cannes-1961";"scoreboard"
1965;"Naples";"Austria";5;"Luxembourg";"final";"naples-1965";"scoreboard"
1965;"Naples";"Austria";3;"Switzerland";"final";"naples-1965";"scoreboard"
1965;"Naples";"Austria";1;"Norway";"final";"naples-1965";"scoreboard"
1965;"Naples";"Belgium";6;"United Kingdom";"final";"naples-1965";"scoreboard"
1965;"Naples";"Belgium";3;"Italy";"final";"naples-1965";"scoreboard"
1965;"Naples";"Denmark";5;"United Kingdom";"final";"naples-1965";"scoreboard"
1965;"Naples";"Denmark";3;"Sweden";"final";"naples-1965";"scoreboard"
1965;"Naples";"Denmark";1;"Luxembourg";"final";"naples-1965";"scoreboard"
1965;"Naples";"Finland";5;"Luxembourg";"final";"naples-1965";"scoreboard"
1965;"Naples";"Finland";3;"Sweden";"final";"naples-1965";"scoreboard"
1965;"Naples";"Finland";1;"France";"final";"naples-1965";"scoreboard"
1965;"Naples";"France";5;"Switzerland";"final";"naples-1965";"scoreboard"
1965;"Naples";"France";3;"Italy";"final";"naples-1965";"scoreboard"
1965;"Naples";"France";1;"Yugoslavia";"final";"naples-1965";"scoreboard"
1965;"Naples";"Germany";5;"Luxembourg";"final";"naples-1965";"scoreboard"
1965;"Naples";"Germany";3;"France";"final";"naples-1965";"scoreboard"
1965;"Naples";"Germany";1;"Italy";"final";"naples-1965";"scoreboard"
1965;"Naples";"Ireland";5;"Austria";"final";"naples-1965";"scoreboard"
1965;"Naples";"Ireland";3;"Luxembourg";"final";"naples-1965";"scoreboard"
1965;"Naples";"Ireland";1;"France";"final";"naples-1965";"scoreboard"
1965;"Naples";"Italy";5;"Ireland";"final";"naples-1965";"scoreboard"
1965;"Naples";"Italy";3;"Austria";"final";"naples-1965";"scoreboard"
1965;"Naples";"Italy";1;"United Kingdom";"final";"naples-1965";"scoreboard"
1965;"Naples";"Luxembourg";5;"Denmark";"final";"naples-1965";"scoreboard"
1965;"Naples";"Luxembourg";3;"France";"final";"naples-1965";"scoreboard"
1965;"Naples";"Luxembourg";1;"Italy";"final";"naples-1965";"scoreboard"
1965;"Naples";"Monaco";5;"France";"final";"naples-1965";"scoreboard"
1965;"Naples";"Monaco";3;"Italy";"final";"naples-1965";"scoreboard"
1965;"Naples";"Monaco";1;"Portugal";"final";"naples-1965";"scoreboard"
1965;"Naples";"Norway";5;"The Netherlands";"final";"naples-1965";"scoreboard"
1965;"Naples";"Norway";3;"Luxembourg";"final";"naples-1965";"scoreboard"
1965;"Naples";"Norway";1;"United Kingdom";"final";"naples-1965";"scoreboard"
1965;"Naples";"Portugal";5;"Austria";"final";"naples-1965";"scoreboard"
1965;"Naples";"Portugal";3;"Ireland";"final";"naples-1965";"scoreboard"
1965;"Naples";"Portugal";1;"Yugoslavia";"final";"naples-1965";"scoreboard"
1965;"Naples";"Spain";5;"United Kingdom";"final";"naples-1965";"scoreboard"
1965;"Naples";"Spain";3;"France";"final";"naples-1965";"scoreboard"
1965;"Naples";"Spain";1;"Luxembourg";"final";"naples-1965";"scoreboard"
1965;"Naples";"Sweden";5;"Denmark";"final";"naples-1965";"scoreboard"
1965;"Naples";"Sweden";3;"United Kingdom";"final";"naples-1965";"scoreboard"
1965;"Naples";"Sweden";1;"Luxembourg";"final";"naples-1965";"scoreboard"
1965;"Naples";"Switzerland";5;"United Kingdom";"final";"naples-1965";"scoreboard"
1965;"Naples";"Switzerland";3;"Luxembourg";"final";"naples-1965";"scoreboard"
1965;"Naples";"Switzerland";1;"Monaco";"final";"naples-1965";"scoreboard"
1965;"Naples";"The Netherlands";5;"Luxembourg";"final";"naples-1965";"scoreboard"
1965;"Naples";"The Netherlands";3;"Italy";"final";"naples-1965";"scoreboard"
1965;"Naples";"The Netherlands";1;"France";"final";"naples-1965";"scoreboard"
